Complexity,Loss,Equation
1,5.019431449715025e-19,"0.9999999988712605"
7,4.1759196003280987e-19,"0.9999999988703685 - (-0.10044485176427555 / (omega + omega))"
10,1.3930497539392727e-20,"sqrt(log(exp(T / (T - 2.2131847048781155e-6)))) + -4.43613084403847e-9"
