Complexity,Loss,Equation
1,23.231016,"3.5559032"
3,3.7752764,"x0 * x0"
5,3.7643487,"(x0 * x0) + -0.10464327"
6,1.4502733,"(x0 * x0) + cos(x3)"
8,0.24002789,"(x0 * x0) + (cos(x3) * 2.41019)"
10,1.2454038e-13,"((cos(x3) * 2.5382) + (x0 * x0)) + -0.5"
12,9.9618095e-14,"((cos(x3) * 2.5382001) + ((x0 * x0) + -1.4345727)) + 0.9345727"
15,9.865886e-14,"(((cos(x3) + -0.31700233) * 1.5382) + (x0 * x0)) + (cos(x3) + -0.012387098)"
