Complexity,Loss,Equation
1,0.08991098493178296,"0.10045335903079897"
3,0.004641133506256376,"T * 1.9055296294451097e-7"
5,0.00013672387953639218,"(T * T) * 3.993908138870888e-14"
7,1.422173229970633e-6,"T * ((T * 7.999781457472781e-21) * T)"
9,7.244506673105376e-7,"((omega * 8.260111172181214e-27) - 1.3049817417009607e-15) * (T * T)"
11,1.1376593176134592e-7,"((((T * 8.260111172181214e-27) * omega) - 3.383027663752754e-9) * T) / 1.0156018716413462"
12,1.1925528137194892e-10,"(omega * T) * ((T + (sqrt(omega) * -0.6086546216207653)) * 1.0992012635073333e-26)"
14,6.662953378451956e-11,"((((sqrt(omega) * -0.6088341641519893) + T) * (omega * 1.0992012635073333e-26)) + 2.199179822903874e-11) * T"
17,6.662775470429333e-11,"(((((sqrt(omega) * -1.6088352382436357) + sqrt(omega)) + T) * (omega * 1.0992012635073333e-26)) + 2.211813568493463e-11) * T"
