Complexity,Loss,Equation
1,0.015147928906396832,"0.015384618220854546"
3,0.00015861318231589276,"omega * 1.9793802828047344e-15"
5,1.5407674754890535e-6,"(omega * omega) * 3.9995994001585124e-30"
7,1.5385539564281373e-8,"((omega * omega) * omega) * 7.999991998968363e-45"
9,1.5384616204760152e-10,"(((omega * omega) * omega) * omega) * 1.599999984113443e-59"
11,5.275127100439566e-16,"(omega + ((omega * (omega * omega)) * 8.147772253754643e-45)) - omega"
13,5.193926708043957e-16,"(omega + (((omega * 8.147772253754643e-45) * (omega * omega)) - omega)) + 2.8125739515161285e-9"
17,4.3250340647355826e-16,"sqrt(sqrt((omega * 6.961142036924752e-44) + ((omega + ((omega * (omega * omega)) * 8.147772253754643e-45)) - omega)))"
19,4.3018685967402677e-16,"sqrt(sqrt((omega + ((omega * (omega * (omega * 8.147772253754643e-45))) - omega)) + ((omega + omega) * 6.961142036924752e-44)))"
