Complexity,Loss,Equation
1,0.012497997056485674,"0.012658230181889569"
3,0.0001305045170953548,"omega * 1.9793802758659214e-15"
5,1.2739080704333326e-6,"(omega * omega) * 3.996802823112702e-30"
7,1.2658988249092204e-8,"((omega * omega) * omega) * 7.999991999536672e-45"
9,1.2494469159335334e-8,"((omega * 8.000095372507729e-45) * (omega * omega)) - 1.2908625636313986e-5"
11,2.315127119663249e-12,"((omega * 4.443168302125349e-34) * omega) * ((omega * 2.000516985754267e-11) - T)"
13,1.3973386805487835e-12,"(omega * 9.241623865959065e-34) * (omega * (((omega * 9.618763709741485e-12) - T) - -518.8652497898673))"
15,1.0967148357111256e-14,"((((omega + omega) * 6.082508160772768e-12) - (T - 391.7277538774456)) * (7.306955824413499e-34 * omega)) * omega"
